occupation,count,corrected_occupation
Boot Closer,159,Boot Closer
Mothers Help,158,Mothers Help
Rural Post Man,158,Rural Post Man
Farmer's Nephew,158,Farmer's Nephew
Writing Clerk,158,Writing Clerk
Scholler,157,Scholar
Farm Servt,157,Farm Servant
Farm Domestic Servant,157,Farm Domestic Servant
Assistant Teacher,157,Assistant Teacher
Druggist,157,Druggist
Farmers Labourer,157,Farmer's Labourer
Scutcher,157,Scutcher
Semstress,156,Seamstress
Coach Maker,156,Coachmaker
Plater,156,Plater
Physician and Surgeon,155,Physician and Surgeon
Gentleman Farmer,155,Gentleman Farmer
Retired Publican,155,Retired Publican
Domestic Servant Gardener,155,Domestic Servant Gardener
Footman,154,Footman
Organist,153,Organist
Flax Doffer,153,Flax Doffer
Scholors,153,Scholar
Shephard,153,Shephard
Income from Dividends,153,Income from Dividends
Farmer's son,153,Farmer's son
Weaver Cambric,153,Weaver Cambric
Cotton Winder,153,Cotton Winder
Mantle Maker,153,Mantle Maker
General Servt-Domestic,152,General Domestic Servant
General Farm Servant,152,General Farm Servant
Clerk Commercial,152,Clerk Commercial
Infants,152,Infants
Railway Station Master,151,Railway Stationmaster
Agricultural Laboure,151,Agricultural Laboure
Student of Theology,151,Student of Theology
Clerk Unemployed,151,Clerk Unemployed
Black-Smith,151,Blacksmith
Agricultural Labourers,151,Agricultural Labourers
Bricklayer's Labourer,151,Bricklayer's Labourer
Pharmaceutical Chemist,150,Pharmaceutical Chemist
Lab,150,Lab
Professor of Music,150,Professor of Music
Labourer (Agricultural),150,Agricultural Labourer
Agricultral Labourer,150,Agricultural Labourer
Tailor and Farmer,150,Tailor and Farmer
Yard Man,149,Yard Man
Rate Collector,149,Rate Collector
Able Seaman,149,Able Seaman
Farmers Grand Daughter,149,Farmer's Granddaughter
Wife of Farmer,149,Wife of Farmer
Mill Hand,149,Mill Hand
Stone Dresser,148,Stone Dresser
Power Loom Tenter,148,Power Loom Tenter
Laundress Domestic Servant,148,Laundress Domestic Servant
Nat School Teacher,148,National School Teacher
Clothes Dealer,148,Clothes Dealer
Flax Preparer,148,Flax Preparer
H Keeper,147,H Keeper
Nill,147,Nill
Farm Son,147,Farm Son
Vagrant,147,Vagrant
Servant - Domestic,147,Domestic Servant
Platers Helper,147,Platers Helper
Labourer in Shipyard,146,Labourer in Shipyard
Woollen Weaver,146,Woollen Weaver
Teaching,146,Teaching
Yarn Bundler,146,Yarn Bundler
Apprentice Fitter,146,Apprentice Fitter
Builder and Contractor,146,Builder and Contractor
Surveyor,146,Surveyor
Linen Waver,145,Linen Waver
Laboror,145,Labourer
Tenter,145,Tenter
Weaver Damask,145,Weaver Damask
Income from House Property,145,Income from House Property
Grocer and Spirit Merchant,145,Grocer and Spirit Merchant
Distillery Labourer,144,Distillery Labourer
Dress Making,144,Dress Making
Roman Catholic Curate,144,Roman Catholic Curate
Printer - Compositor,144,Printer Compositor
Keeping House,143,Keeping House
Companion,143,Companion
Vegetable Dealer,143,Vegetable Dealer
Timber Merchant,143,Timber Merchant
Billiard Marker,143,Billiard Marker
Nat Teacher,143,National Teacher
Grocer's Porter,143,Grocer's Porter
Railway Platelayer,143,Railway Platelayer
Catholic Clergyman,143,Catholic Clergyman
Farmer and Labourer,143,Farmer and Labourer
Nurse Domestic Servt,143,Nurse Domestic Servant
Tailor Master,143,Master Tailor
Fruiterer,142,Fruiterer
Brushmaker,142,Brushmaker
Roman Catholic Clergyman,142,Roman Catholic Clergyman
Plate Layer,141,Plate Layer
Helper,141,Helper
Town Postman,141,Town Postman
Spinner Linen,141,Spinner Linen
Sewing,141,Sewing
Presbyterian Minister,140,Presbyterian Minister
Landed Proprietor,140,Landed Proprietor
Iron Ore Miner,140,Iron Ore Miner
Smother,140,Smother
Veterinary Surgeon,139,Veterinary Surgeon
Spreader,139,Spreader
Master Carpenter,139,Master Carpenter
Labourer Son,138,Labourer's Son
Living on Interest of Money,137,Living on Interest of Money
Natl School Teacher,137,National School Teacher
Rope Maker,137,Ropemaker
Herds Son,137,Herd's Son
Scollars,137,Scollars
Priest,136,Priest
Pawn Broker,135,Pawn Broker
Fire Man,135,Fire Man
Blacksmith and Farmer,135,Blacksmith and Farmer
Fisher,135,Fisher
Linen Manufacturer,134,Linen Manufacturer
Bill Poster,134,Bill Poster
Shop Apprentice,134,Shop Apprentice
Sempstress,134,Seamstress
Stableman,134,Stableman
Not,134,Not
Coach Man Domestic Servant,134,Coach Man Domestic Servant
School Master,133,Schoolmaster
General Draper,133,General Draper
Poultry Dealer,132,Poultry Dealer
Brewers Labourer,132,Brewers Labourer
Daughter of Farmer,132,Daughter of Farmer
Stonemason,132,Stonemason
Attending a School,131,Attending a School
Medical Doctor,131,Medical Doctor
G Servant Domestic,131,General Domestic Servant
Winder Linen,131,Winder Linen
Pattern Maker,131,Pattern Maker
Insurance Clerk,131,Insurance Clerk
Seamtress,130,Seamstress
Cardriver,129,Cardriver
Bar Man,129,Barman
Work on Farm,129,Work on Farm
Constable R.I.C.,128,Constable R.I.C.
Boarding House,128,Boarding House
Building Contractor,128,Building Contractor
Ship Joiner,128,Ship Joiner
Warp Winder,128,Warp Winder
Linen Warper,128,Linen Warper
Power Loom Weaver,127,Power Loom Weaver
Plough Man,127,Plough Man
Schoolmistress,127,Schoolmistress
House Owner,126,House Owner
General Servant D,126,General Servant D
Parlour Maid Domestic,126,Parlour Maid Domestic
House-Wife,126,Housewife
Polisher,126,Polisher
Labourer in Factory,125,Labourer in Factory
Groom Domestic,125,Groom Domestic
Washwoman,125,Washwoman
Cotton Spinner,125,Cotton Spinner
Cook-Domestic Servt,125,Cook Domestic Servant
Warper,125,Warper
Embroidery,125,Embroidery
Bookeeper,125,Bookkeeper
Boot-Maker,124,Bootmaker
No Buisness,124,No Business
No occupation,124,No occupation
Domestic Servant House Maid,124,Housemaid Domestic Servant
Boat Builder,123,Boat Builder
G. Labourer,123,General Labourer
Housemaid Domestic Servt,123,Housemaid Domestic Servant
Farmers-Son,122,Farmer's Son
Publicans Assistant,122,Publican's Assistant
Invalid,122,Invalid
Chemists Assistant,122,Chemist's Assistant
Weaver of Linen,121,Weaver of Linen
Farmer's Daughter in Law,121,Farmer's Daughter in Law
Laundry,121,Laundry
Workmistress,121,Workmistress
Thatcher,121,Thatcher
Natl. Teacher,120,Natl. Teacher
Prison Warder,120,Prison Warder
Farmservant,120,Farmservant
Banker,120,Banker
Drapery,120,Drapery
Ladies Nurse,120,Ladies Nurse
School Child,120,School Child
Wool Carder,120,Wool Carder
Jarvey,120,Jarvey
Hotel Waiter,120,Hotel Waiter
House Keper,120,House Keper
Scholar Attending School,119,Scholar Attending School
Coal Dealer,119,Coal Dealer
Nat. School Teacher,119,Nat. School Teacher
Genl. Labourer,119,General Labourer
Labrour,119,Labourer
Children,119,Children
Flax Drawer,119,Flax Drawer
Farmer and Tailor,118,Farmer and Tailor
Retired Linen Weaver,118,Retired Linen Weaver
Apprentice Clerk,118,Apprentice Clerk
Mate,118,Mate
Errand Boy,118,Errand Boy
Bookfolder,118,Bookfolder
General Labourers,118,General Labourers
Servant Cook,118,Servant Cook
Coachman Domestic Servt,118,Coachman Domestic Servant
Landholder,117,Landholder
Dress maker,117,Dress maker
Sholars,117,Scholar
Retired Agricultural Labourer,117,Retired Agricultural Labourer
Agri Labourer,117,Agricultural Labourer
General Housework,117,General Housework
Laboure,117,Laboure
Agricultural Labouer,117,Agricultural Labourer
Income from Land,116,Income from Land
General House Keeper,116,General Housekeeper
House Business,116,House Business
Corn Porter,116,Corn Porter
Employed on Farm,116,Employed on Farm
House Agent,116,House Agent
Black Smyth,116,Black Smyth
Attendant,116,Attendant
Farmers Daugh,115,Farmers Daugh
House Assistant,115,House Assistant
Agricultl Labourer,115,Agricultural Labourer
Farmers wife,115,Farmers wife
Labourer Daughter,115,Labourer's Daughter
Retired Housekeeper,115,Retired Housekeeper
Stone Breaker,114,Stone Breaker
General Servant Domestic Servant,114,General Servant Domestic Servant
Night Watchman,114,Night Watchman
Domestic House Keeper,114,Domestic Housekeeper
Retired Farmer's Wife,114,Retired Farmer's Wife
Joiner on Strike,114,Joiner on Strike
Grocer's Apprentice,114,Grocer's Apprentice
General Laboure,114,General Laboure
N School Teacher,113,National School Teacher
Police Constable,113,Police Constable
White Smith,113,Whitesmith
Student of Medicine,113,Student of Medicine
Winder in Mill,112,Winder in Mill
Nurse-Domestic,112,Nurse Domestic
Road Labourer,112,Road Labourer
Spinner in Factory,112,Spinner in Factory
Apprentice Tailor,112,Apprentice Tailor
Office Clerk,112,Office Clerk
Ordnance Surveyor,112,Ordnance Surveyor
Dyer,112,Dyer
General Servt. Domestic,111,General Domestic Servant
Farmerswife,111,Farmerswife
Nailer,111,Nailer
Groom-Domestic Servant,111,Groom Domestic Servant
Herds Wife,111,Herd's Wife
Assistant Shop Keeper,111,Assistant Shopkeeper
Farmer's Daught,111,Farmer's Daught
Catholic Priest,111,Catholic Priest
Jute Weaver,111,Jute Weaver
Sr of Mercy,111,Sr of Mercy
Fish Merchant,111,Fish Merchant
Apprentice Plumber,111,Apprentice Plumber
Cabinetmaker,110,Cabinetmaker
School-Boy,110,School Boy
Boot Merchant,110,Boot Merchant
Retired House Keeper,110,Retired Housekeeper
Handkerchief Folder,110,Handkerchief Folder
Dom Servant,110,Domestic Servant
Bricklayer Labourer,110,Bricklayer Labourer
Launderess,109,Launderess
Labourer Agr,109,Agricultural Labourer
Messanger,109,Messanger
Shepherd's Son,109,Shepherd's Son
Rope Spinner,109,Rope Spinner
Nat. Teacher,109,Nat. Teacher
Farm-Labourer,108,Farm Labourer
Chimney Sweep,108,Chimney Sweep
Merchant Sailor,108,Merchant Sailor
House Kepper,108,House Kepper
Retired Shop Keeper,108,Retired Shopkeeper
Harnessmaker,108,Harnessmaker
None Stated,108,None Stated
Brass Moulder,107,Brass Moulder
Doffer in Spinning Mill,107,Doffer in Spinning Mill
Pensioner R.I.C.,107,R.I.C. Pensioner
Farmes Daughter,107,Farmes Daughter
Brewer,107,Brewer
House Maid-Domestic Servant,106,House Maid Domestic Servant
Scholar at School,106,Scholar at School
Fishmonger,106,Fishmonger
N. School Teacher,106,N. School Teacher
Linen Yarn Spinner,106,Linen Yarn Spinner
Farm,105,Farm
Farmer and Road Contractor,105,Farmer and Road Contractor
Breadserver,105,Breadserver
Time Keeper,105,Timekeeper
Corn Miller,104,Corn Miller
Servant Girl,104,Servant Girl
Gardener Domestic Servt,104,Gardener Domestic Servant
Linen Weaver in Factory,104,Linen Weaver in Factory
Housekeeper at Home,104,Housekeeper at Home
Drapers Porter,104,Draper's Porter
Asylum Nurse,104,Asylum Nurse
Domestic Cook,104,Domestic Cook
General Housekeeper,104,General Housekeeper
Farms Son,104,Farms Son
Maid-Domestic Servant,104,Maid Domestic Servant
Furniture Dealer,104,Furniture Dealer
Domestic Housekeeper,104,Domestic Housekeeper
Servant Unemployed,104,Servant Unemployed
R.C. Clergyman,104,Roman Catholic Clergyman
Kitchenmaid Domestic Servant,104,Kitchenmaid Domestic Servant
Butchers Porter,104,Butcher's Porter
Labourer Brewery,103,Brewery Labourer
Inmate of Home,103,Inmate of Home
Brickyard Labourer,103,Brickyard Labourer
Labourer on Railway,103,Labourer on Railway
Servant General Domestic,103,Servant General Domestic
Farm Daughter,103,Farm Daughter
Schola,102,Schola
Butter Merchant,102,Butter Merchant
Dairy Woman,102,Dairy Woman
House and Parlour Maid Domestic Servant,102,House and Parlour Maid Domestic Servant
Silk Weaver,102,Silk Weaver
Factory Winder,102,Factory Winder
Labouring Man,102,Labouring Man
Dairy Proprietor,102,Dairy Proprietor
Railway Signal Man,102,Railway Signal Man
Maid Domestic Servant,102,Maid Domestic Servant
Domestic Servant-General,102,General Domestic Servant
Labourer Ship Yard,102,Ship Yard Labourer
Shop Keeper Grocer,102,Shop Keeper Grocer
Woollen Draper,102,Woollen Draper
Watchman,101,Watchman
Labouring,101,Labourer
Cab Driver,101,Cab Driver
Agriculural Labourer,101,Agricultural Labourer
Shop Manager,101,Shop Manager
Non,101,Non
Attendant on Insane,101,Attendant on Insane
Servent,100,Servent
Chimney Cleaner,100,Chimney Cleaner
Tailors Cutter,100,Tailors Cutter
General Work,100,General Work
Carpinter,100,Carpenter
Manageress,100,Manageress
Provision Assistant,100,Provision Assistant
Nail Maker,100,Nail Maker
Flax Mill Worker,100,Flax Mill Worker
Factory Weaver,100,Factory Weaver
Linen Yarn Reeler,100,Linen Yarn Reeler
Farm Helper,100,Farm Helper
Jockey,100,Jockey
Labourer in Foundry,100,Labourer in Foundry
Son of Farmer,100,Son of Farmer
Herd's Son,100,Herd's Son
Assistant Shopkeeper,100,Assistant Shopkeeper
Soldier's Wife,99,Soldier's Wife
Plumber and Gasfitter,99,Plumber and Gasfitter
Pork Cutter,99,Pork Cutter
Winder in Linen Factory,99,Winder in Linen Factory
Home Work,99,Home Work
Bank Cashier,99,Bank Cashier
Farm Labourers,99,Farm Labourers
Iron Dresser,98,Iron Dresser
Wife of Labourer,98,Wife of Labourer
Ag. Labourer,98,Agricultural Labourer
Genl. Servant Domestic,98,General Domestic Servant
Hackler,98,Hackler
Cutter,98,Cutter
Agricultural Servant,98,Agricultural Servant
Machine Fitter,98,Machine Fitter
R. I. C. Pensioner,98,R. I. C. Pensioner
Draper's Apprentice,97,Draper's Apprentice
Constable R. I. C,97,Constable R. I. C
Disengaged,97,Disengaged
Footman Domestic Servant,97,Footman Domestic Servant
Mail Car Driver,97,Mail Car Driver
Shirt Factory,97,Shirt Factory
Domestic Servant (Cook),97,Cook Domestic Servant
Labourer in Mill,97,Labourer in Mill
Landsteward,97,Landsteward
Apprentice Painter,96,Apprentice Painter
Waiteress,96,Waiteress
Car-Driver,96,Car Driver
Plaster,96,Plaster
Clerk Railway,96,Railway Clerk
Bag Maker,96,Bag Maker
Married,96,Married
Biscuit Packer,96,Biscuit Packer
Machine Man,96,Machine Man
Smoother in Laundry,95,Smoother in Laundry
Millener,95,Millener
Certified Pupil,95,Certified Pupil
Quarryman,95,Quarryman
Dentist,95,Dentist
Weaver-Linen,95,Linen Weaver
Penitent,95,Penitent
Farmers Daug,95,Farmers Daug
Needle Worker,95,Needle Worker
Sower,95,Sower
Carpenter Employed,94,Carpenter Employed
Reeler Flax,94,Reeler Flax
Post-Man,94,Postman
General Servt,94,General Servant
Merchant and Farmer,94,Merchant and Farmer
Shoeing Smith,94,Shoeing Smith
Not Known,94,Not Known
Apprentice Dressmaker,94,Apprentice Dressmaker
Genl Laborer,93,General Labourer
Drapers Clerk,93,Draper's Clerk
Scholers,93,Scholers
Ornamenter,93,Ornamenter
Farm Worker,93,Farm Worker
Sawer,93,Sawer
Lithographic Printer,93,Lithographic Printer
Bar Assistant,93,Bar Assistant
Retired Cook,93,Retired Cook
Settmaker,92,Settmaker
Clerk of Petty Sessions,92,Clerk of Petty Sessions
Private Lady,92,Private Lady
Sub Postmaster,92,Sub Postmaster
Law Student,92,Law Student
Workman,92,Workman
House and Parlour Maid,92,House and Parlour Maid
Flowerer,92,Flowerer
Family Grocer,92,Family Grocer
Collar Cutter,92,Collar Cutter
Wife of Above,92,Wife of Above
Policeman,92,Policeman
Drawer,91,Drawer
Seamestress,91,Seamstress
Farmer's Grand Son,91,Farmer's Grand Son
Mill-Worker,91,Mill Worker
General Laberour,91,General Labourer
Grazier,91,Grazier
Herd's Daughter,91,Herd's Daughter
Assistant on Farm,91,Assistant on Farm
Cook Servant Domestic,91,Cook Servant Domestic
Lodge Keeper,91,Lodge Keeper
Wool Knitter,91,Wool Knitter
Glazier,90,Glazier
General Farm Labourer,90,General Farm Labourer
R C Clergyman,90,Roman Catholic Clergyman
Coachbuilder,90,Coachbuilder
Kitchenmaid,90,Kitchenmaid
Railway Inspector,90,Railway Inspector
Cigarette Maker,90,Cigarette Maker
Domestic Servant-Cook,90,Cook Domestic Servant
Drayman,90,Drayman
Bank Accountant,90,Bank Accountant
Tea Traveller,89,Tea Traveller
Scholar Farmers Daughter,89,Scholar Farmers Daughter
Shopman Draper,89,Shopman Draper
Master Baker,89,Master Baker
General Servant Domest,89,General Servant Domest
Machinst,89,Machinst
Cannot Read,89,Cannot Read
Carpenters Apprentice,89,Carpenter's Apprentice
Apprentice Baker,89,Apprentice Baker
Farmers Son in Law,89,Farmer's Son in Law
Mid Wife,89,Mid Wife
Sorting Clerk and Telegraphist,89,Sorting Clerk and Telegraphist
Wine and Spirit Merchant,89,Wine and Spirit Merchant
Hotel Proprietress,89,Hotel Proprietress
Sea Captain,88,Sea Captain
Builder Labourer,88,Builder's Labourer
Storeman,88,Storeman
Pecheur,88,Pecheur
Presbyterian Clergyman,88,Presbyterian Clergyman
Domestic Labourer,88,Domestic Labourer
Weaver in Factory,88,Weaver in Factory
Lodging Housekeeper,88,Lodging Housekeeper
Spinner in Spinning Mill,88,Spinner in Spinning Mill
General-Labourer,88,General Labourer
"Nurse, Domestic Servant",88,"Nurse, Domestic Servant"
Bottler,88,Bottler
Natl. School Teacher,88,Natl. School Teacher
Ornamentor,88,Ornamentor
Home Duties,88,Home Duties
Navy Pensioner,87,Navy Pensioner
Retired Dressmaker,87,Retired Dressmaker
Students,87,Students
Linnen Winder,87,Linnen Winder
Carpenters Wife,87,Carpenter's Wife
Lady's Maid,87,Lady's Maid
Box Folder,87,Box Folder
Hosier,87,Hosier
Carpenter-Master,87,Carpenter Master
Domestick Servant,86,Domestic Servant
General Grocer,86,General Grocer
Farm Steward,86,Farm Steward
Nurse - Domestic Servant,86,Nurse Domestic Servant
Mother's Help,86,Mother's Help
Solicitors Apprentice,86,Solicitors Apprentice
Dealer in Fruit,86,Dealer in Fruit
Farm Labouer,86,Farm Labouer
Schalar,86,Schalar
Worker in Thread Factory,86,Worker in Thread Factory
Retired,86,Retired
Shepherd's Daughter,86,Shepherd's Daughter
Labouror,86,Labouror
Widow of Labourer,86,Widow of Labourer
Keeps House,86,Keeps House
Parlourmaid,85,Parlourmaid
Farmers Son Scholar,85,Farmers Son Scholar
Spinning Master,85,Spinning Master
Pipe Maker,85,Pipe Maker
Dresmaker,85,Dresmaker
Beetler,85,Beetler
Apprentice Engineer,85,Apprentice Engineer
Shopman Grocer,85,Shopman Grocer
Apprentice Joiner,85,Apprentice Joiner
S,85,S
Labourer in Distillery,85,Labourer in Distillery
Professional Nurse,85,Professional Nurse
Cloth Finisher,84,Cloth Finisher
Seamsteress,84,Seamstress
National S Teacher,84,National School Teacher
Farmersson,84,Farmersson
Sisters of Mercy,84,Sisters of Mercy
Scholar Farmers Son,84,Scholar Farmers Son
Slator,84,Slator
Leather Cutter,84,Leather Cutter
Quay Porter,84,Quay Porter
Sub Postmistress,84,Sub Postmistress
Caulker,84,Caulker
Maid,84,Maid
Stevedore,83,Stevedore
Genl Domestic Servant,83,General Domestic Servant
Gen Servant,83,General Servant
Yardman,83,Yardman
No Proffession,83,No Proffession
Hosiery Knitter,83,Hosiery Knitter
Pedler,83,Pedler
Farmer and House Keeper,83,Farmer and House Keeper
Lock Keeper,83,Lock Keeper
Dairyman's Son,82,Dairyman's Son
Linen Mill Worker,82,Linen Mill Worker
Shepherds Wife,82,Shepherd's Wife
Land Lady,82,Land Lady
Sculptor,82,Sculptor
Railway Official,82,Railway Official
Land Stewart,82,Land Stewart
General Servant Unemployed,82,General Servant Unemployed
Lamp Lighter,81,Lamp Lighter
Schlor,81,Schlor
Wood Carver,81,Wood Carver
Cycle Agent,81,Cycle Agent
Pawnbrokers Assistant,81,Pawnbrokers Assistant
Grocers Clerk,81,Grocers Clerk
Dairy Labourer,80,Dairy Labourer
Hatter,80,Hatter
